id,name,description,code,price,weight,is_foc,main_product_id,is_active,sensitive,created_at,updated_at
58,Apple Tea (FOC),,ATFOC,0,0,1,0,0,0,2023-01-17 09:02:36,2019-12-24 05:16:15
59,Nutremom Basic (FOC),,NT FOC,0,0,1,0,1,0,2023-01-17 09:02:36,2019-12-24 06:01:31
60,Nutremom Advanced (FOC),,NTA FOC,0,0,0,0,1,0,2023-01-17 09:02:36,2019-12-24 06:02:28
61,Ezi Joint (FOC),,EZJ FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2019-12-24 06:03:46
62,Xgene Royale (FOC),,XG F(OC),0,0,1,0,0,1,2023-01-17 09:02:36,2019-12-24 06:04:28
63,Heel Cushion (FOC),,HC FOC,0,0,1,0,1,0,2023-01-17 09:02:36,2019-12-24 06:36:45
64,Meditox Foot Patch (FOC),,FP FOC,0,0,1,0,1,1,2023-01-17 09:02:36,2019-12-24 06:38:31
65,Besty Fabulous PM (FOC),,BF PM,0,0,1,0,0,0,2023-01-17 09:02:36,2019-12-24 06:45:07
66,Tupperware Set (FOC),,TPS,0,0,1,0,0,0,2023-01-17 09:02:36,2019-12-30 03:56:26
67,Home Workout,,BFWS,90,0,0,0,0,0,2023-01-17 09:02:36,2020-01-02 10:09:53
68,Upperbody Treatment Patch (FOC),,UTP,0,0,1,0,0,0,2023-01-17 09:02:36,2020-01-03 02:57:12
69,Bekung Magic (FOC),,BM,0,0,1,0,0,0,2023-01-17 09:02:36,2020-01-03 02:57:51
70,Chocolate Halia,,CHH,75,0,0,0,0,0,2023-01-17 09:02:36,2020-01-07 16:36:01
71,Chocolate Halia (FOC),,CHH FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-01-07 16:38:36
72,Alluv Hair Serum,,HS,90,0,0,0,0,0,2023-01-17 09:02:36,2020-01-09 05:48:17
73,Alluv Hair Serum (FOC),,HSFOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-01-09 05:49:51
74,Royale Tongkat Ali (FOC),,TA FOC,0,0,1,0,1,1,2023-01-17 09:02:36,2020-01-13 10:08:17
75,Royale Tongkat Ali,,TA,95,0,0,0,1,1,2023-01-17 09:02:36,2020-02-07 07:47:09
76,Joint Patch,,JP,50,0,0,0,0,0,2023-01-17 09:02:36,2020-03-18 01:57:26
77,Xring,,RG,1,0,0,0,0,1,2023-01-17 09:02:36,2020-04-08 02:24:27
78,Royale Tin,,RTIN,50,0,0,0,0,0,2023-01-17 09:02:36,2020-04-25 09:36:51
79,Royale Tin (FOC),,RTIN FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-04-25 09:58:31
80,Chocolate Halia (Sachet - FOC),,CHHS,0,0,1,0,0,0,2023-01-17 09:02:36,2020-05-06 05:28:47
81,Doxte Tab Sachet (FOC),,SDTFOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-07-01 02:54:21
82,Shaker,,SH,2,44,0,0,1,0,2023-01-17 09:02:36,2020-07-07 01:14:54
83,Chocolate Halia Sachet,,CHS,1,0,0,0,0,0,2023-01-17 09:02:36,2020-07-07 01:17:23
84,Bee Halia,,BH,80,0,0,0,0,0,2023-01-17 09:02:36,2020-07-11 05:41:38
85,Bee Halia (FOC),,BH FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-07-11 05:43:02
86,Aromatic Balm,,AB,2,0,0,0,0,0,2023-01-17 09:02:36,2020-08-06 11:20:55
87,Perfume Pemikat ,,PP,2,0,0,0,0,0,2023-01-17 09:02:36,2020-08-06 11:22:09
88,Meditox Footpatch (FOC),,MFP FOC,0,80,1,0,0,0,2023-01-17 09:02:36,2020-09-03 05:46:42
89,GambiRoot Krim,,GR,89,0,0,0,1,1,2023-01-17 09:02:36,2020-09-07 07:50:29
90,GambiRoot Krim (FOC),,GR FOC,0,0,1,0,1,1,2023-01-17 09:02:36,2020-09-07 07:53:02
91,Perfume Pemikat  (FOC),,PP FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-09-08 06:54:50
92,Customer Service Product,,CSP,0,0,0,0,0,0,2023-01-17 09:02:36,2020-09-10 02:33:35
93,Olive Tin,,OT,50,349,0,0,1,0,2023-01-17 09:02:36,2020-11-16 07:01:08
94,Olive Tin FOC,,OT FOC,0,349,1,0,1,0,2023-01-17 09:02:36,2020-11-16 07:13:49
95,OLT - ROYALE  TIN,,OLT - RT,50,0,0,0,0,0,2023-01-17 09:02:36,2020-11-23 06:41:36
96,Kopi Raja (FOC),,KRJ (FOC),0,0,1,0,0,0,2023-01-17 09:02:36,2020-12-24 02:03:19
